timestamp_ms,inference_ms,fps,detections,convert_ms,rotate_ms,letterbox_ms,infer_ms,parse_ms
1787770250594,972.0,1.36,1,7.7,47.26,1.49,911.91,3.58
1787770251068,435.3,1.37,1,19.79,27.28,0.6,384.24,3.39
1787770252108,1011.4,1.36,0,7.56,60.02,1.2,939.22,3.36
1787770252632,513.2,1.36,1,12.07,38.28,0.55,458.55,3.78
1787770253553,920.2,1.36,2,11.61,36.37,1.07,867.85,3.29
1787770254072,484.1,1.36,0,12.51,37.06,0.57,427.05,6.88
1787770255069,980.3,1.35,1,12.58,25.68,1.15,936.78,4.11
1787770255543,463.4,1.36,1,16.48,32.41,0.61,409.94,3.99
1787770256548,996.6,1.35,1,12.77,39.25,1.16,938.77,4.61
1787770257037,484.9,1.35,1,10.96,32.45,0.62,437.74,3.1
1787770258010,963.2,1.34,1,8.91,27.36,1.27,922.08,3.58
1787770258473,451.5,1.35,1,11.55,35.16,0.57,401.36,2.86
1787770259429,942.3,1.34,0,15.66,41.66,1.14,877.98,5.83
1787770259907,452.1,1.34,0,11.85,37.46,0.58,398.32,3.93
1787770260890,951.5,1.35,1,12.2,53.95,1.15,880.68,3.5
1787770261529,570.3,1.35,1,12.1,51.44,0.92,500.91,4.91
1787770262534,974.7,1.35,1,11.37,48.25,1.13,910.57,3.4
1787770263088,522.6,1.34,2,18.77,39.59,0.6,460.11,3.5
1787770264079,953.9,1.34,2,13.49,41.54,1.18,894.06,3.6
1787770264606,514.7,1.34,2,13.37,46.94,0.61,450.0,3.76
1787770265608,977.2,1.34,1,15.32,50.63,1.46,906.38,3.42
1787770266114,494.1,1.34,1,13.86,48.47,0.91,427.63,3.25
1787770267089,973.9,1.33,2,13.79,33.84,1.09,920.92,4.22
1787770267567,476.9,1.34,2,11.54,45.93,0.95,415.15,3.35
1787770268569,976.4,1.34,1,11.57,51.88,1.14,908.57,3.22
1787770269068,476.5,1.34,1,11.66,36.61,0.59,424.02,3.63
